epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,3022.39,0.8078,0.45112,0.92532,0.94331,0.89658,0.93737,0.62447,1.04663,0.48838,1.00378,7.624e-05,7.624e-05,7.624e-05
122,3047.27,0.81312,0.45607,0.93265,0.93242,0.88768,0.93198,0.62275,1.0371,0.48506,0.99918,7.6042e-05,7.6042e-05,7.6042e-05
123,3072.17,0.81982,0.463,0.93069,0.94087,0.88195,0.93189,0.6259,1.04272,0.49403,0.99431,7.5844e-05,7.5844e-05,7.5844e-05
124,3097.04,0.80724,0.45555,0.93128,0.94002,0.89041,0.93409,0.62855,1.04266,0.49612,0.99423,7.5646e-05,7.5646e-05,7.5646e-05
125,3121.99,0.80797,0.45319,0.92958,0.93974,0.88922,0.93409,0.62648,1.04239,0.49402,0.99707,7.5448e-05,7.5448e-05,7.5448e-05
126,3146.92,0.80068,0.45299,0.92586,0.94795,0.88367,0.93207,0.62701,1.03692,0.49313,0.99819,7.525e-05,7.525e-05,7.525e-05
127,3171.85,0.80919,0.45714,0.92603,0.94868,0.89004,0.93375,0.62743,1.03434,0.48742,0.99955,7.5052e-05,7.5052e-05,7.5052e-05
128,3196.74,0.80505,0.4529,0.92475,0.94955,0.88755,0.93318,0.62644,1.03076,0.48801,0.996,7.4854e-05,7.4854e-05,7.4854e-05
129,3221.65,0.80001,0.45221,0.9268,0.93858,0.89742,0.93424,0.62563,1.03721,0.4899,0.99737,7.4656e-05,7.4656e-05,7.4656e-05
130,3246.42,0.80482,0.45503,0.92527,0.93873,0.90034,0.93549,0.62803,1.03412,0.48494,0.99448,7.4458e-05,7.4458e-05,7.4458e-05
131,3271.29,0.79211,0.4463,0.92341,0.93666,0.89991,0.93321,0.62816,1.0371,0.48856,0.99712,7.426e-05,7.426e-05,7.426e-05
132,3296.11,0.79035,0.44464,0.92088,0.94457,0.88641,0.93432,0.6274,1.03573,0.4883,0.99579,7.4062e-05,7.4062e-05,7.4062e-05
133,3321.01,0.79937,0.45051,0.92826,0.93531,0.90087,0.93594,0.63066,1.02355,0.48083,0.9925,7.3864e-05,7.3864e-05,7.3864e-05
134,3345.91,0.78649,0.44796,0.92269,0.93827,0.89297,0.93469,0.62856,1.02527,0.48617,0.99452,7.3666e-05,7.3666e-05,7.3666e-05
135,3370.72,0.78307,0.44282,0.91821,0.94201,0.89469,0.93631,0.63115,1.0207,0.47977,0.99529,7.3468e-05,7.3468e-05,7.3468e-05
136,3395.54,0.78706,0.45266,0.92618,0.94669,0.8911,0.93541,0.63158,1.01932,0.48142,0.99551,7.327e-05,7.327e-05,7.327e-05
137,3420.46,0.78759,0.44508,0.92036,0.94958,0.89228,0.93634,0.62967,1.02116,0.48057,0.9971,7.3072e-05,7.3072e-05,7.3072e-05
138,3445.36,0.78105,0.44273,0.91941,0.93985,0.89753,0.9342,0.62837,1.0216,0.48439,0.99745,7.2874e-05,7.2874e-05,7.2874e-05
139,3470.23,0.78976,0.44596,0.92019,0.94268,0.8968,0.93677,0.63242,1.01619,0.47734,0.99436,7.2676e-05,7.2676e-05,7.2676e-05
140,3495.08,0.79027,0.44547,0.92145,0.94447,0.89489,0.93669,0.63488,1.00959,0.47624,0.99277,7.2478e-05,7.2478e-05,7.2478e-05
141,3519.92,0.77952,0.43938,0.92121,0.95101,0.8909,0.93616,0.63455,1.01543,0.48092,0.99517,7.228e-05,7.228e-05,7.228e-05
142,3544.66,0.78419,0.44236,0.91902,0.94876,0.89645,0.93511,0.63522,1.01092,0.47563,0.9934,7.2082e-05,7.2082e-05,7.2082e-05
143,3569.61,0.78164,0.43941,0.9161,0.94714,0.89839,0.93553,0.63894,0.99925,0.4698,0.98941,7.1884e-05,7.1884e-05,7.1884e-05
144,3594.53,0.77514,0.44124,0.91365,0.94625,0.89641,0.93741,0.63524,0.99921,0.46672,0.98891,7.1686e-05,7.1686e-05,7.1686e-05
145,3619.33,0.76294,0.43227,0.9133,0.94298,0.89668,0.93285,0.63394,0.9983,0.46704,0.98881,7.1488e-05,7.1488e-05,7.1488e-05
146,3644.12,0.77195,0.43302,0.91564,0.94851,0.89224,0.93511,0.63525,0.9969,0.46921,0.99032,7.129e-05,7.129e-05,7.129e-05
147,3669.03,0.76613,0.43195,0.9167,0.94167,0.8978,0.93437,0.63366,0.99578,0.46924,0.99021,7.1092e-05,7.1092e-05,7.1092e-05
148,3693.85,0.77491,0.43969,0.91865,0.94532,0.88952,0.93354,0.63392,0.99115,0.4723,0.98926,7.0894e-05,7.0894e-05,7.0894e-05
149,3718.71,0.76618,0.43366,0.91389,0.9429,0.89246,0.93499,0.63731,0.99209,0.46921,0.98949,7.0696e-05,7.0696e-05,7.0696e-05
150,3743.51,0.76192,0.43585,0.91181,0.93635,0.89423,0.93528,0.63682,0.99371,0.47074,0.99132,7.0498e-05,7.0498e-05,7.0498e-05
151,3768.3,0.76685,0.43409,0.91312,0.9439,0.88978,0.93479,0.63922,0.99021,0.47398,0.99003,7.03e-05,7.03e-05,7.03e-05
152,3793.17,0.75532,0.42641,0.91342,0.94358,0.89192,0.93468,0.639,0.98976,0.47318,0.98885,7.0102e-05,7.0102e-05,7.0102e-05
153,3818.02,0.75707,0.43539,0.91792,0.93595,0.89666,0.93422,0.63986,0.9856,0.47153,0.98784,6.9904e-05,6.9904e-05,6.9904e-05
154,3842.99,0.76349,0.42996,0.90988,0.94035,0.89742,0.93791,0.63972,0.98459,0.46756,0.9873,6.9706e-05,6.9706e-05,6.9706e-05
