epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3078.29,0.97952,0.58023,0.87944,0.89808,0.87727,0.90991,0.6498,0.87366,0.54352,0.84858,0.0005348,0.0005348,0.0005348
76,3119.76,0.9915,0.61291,0.89193,0.92272,0.87727,0.91807,0.66436,0.87261,0.54138,0.8511,0.000515,0.000515,0.000515
77,3161.14,0.97715,0.56825,0.85634,0.92367,0.8801,0.92206,0.65876,0.91101,0.53671,0.85157,0.0004952,0.0004952,0.0004952
78,3202.42,1.0257,0.58011,0.87176,0.91559,0.88752,0.91719,0.65768,0.91941,0.51141,0.85522,0.0004754,0.0004754,0.0004754
79,3243.82,1.0119,0.61006,0.86204,0.939,0.86364,0.92616,0.66668,0.89372,0.50905,0.85206,0.0004556,0.0004556,0.0004556
80,3285.12,0.97343,0.55596,0.87745,0.93988,0.87727,0.91946,0.65832,0.90192,0.52034,0.85016,0.0004358,0.0004358,0.0004358
81,3326.35,0.99653,0.58956,0.88967,0.95374,0.88636,0.92261,0.64318,0.89117,0.52246,0.84507,0.000416,0.000416,0.000416
82,3367.63,0.90644,0.53562,0.85732,0.95099,0.88195,0.92546,0.68253,0.81903,0.5008,0.83806,0.0003962,0.0003962,0.0003962
83,3408.94,0.9066,0.55809,0.84076,0.95714,0.88182,0.92296,0.68535,0.83872,0.5042,0.84096,0.0003764,0.0003764,0.0003764
84,3450.14,0.97675,0.55357,0.87407,0.94571,0.87097,0.91732,0.66884,0.85126,0.51356,0.83849,0.0003566,0.0003566,0.0003566
85,3491.52,0.95771,0.5614,0.89112,0.95035,0.86818,0.92307,0.67352,0.84051,0.51432,0.8378,0.0003368,0.0003368,0.0003368
86,3532.94,0.96391,0.56391,0.87764,0.95524,0.87311,0.92173,0.67663,0.81307,0.50147,0.83569,0.000317,0.000317,0.000317
87,3573.76,0.92195,0.54513,0.86944,0.94227,0.89032,0.92952,0.68058,0.81282,0.49952,0.83534,0.0002972,0.0002972,0.0002972
88,3614.56,0.93896,0.57374,0.90208,0.94671,0.8882,0.92472,0.68467,0.80855,0.49396,0.8338,0.0002774,0.0002774,0.0002774
89,3655.24,0.89442,0.51926,0.86256,0.93676,0.9,0.92807,0.68649,0.80386,0.48297,0.83251,0.0002576,0.0002576,0.0002576
90,3696.67,0.87166,0.51552,0.84168,0.9426,0.87727,0.93048,0.69805,0.78601,0.48569,0.83104,0.0002378,0.0002378,0.0002378
91,3737.24,0.93123,0.54722,0.87175,0.92925,0.88182,0.92793,0.68945,0.79074,0.48939,0.8312,0.000218,0.000218,0.000218
92,3778.04,0.89266,0.54123,0.84459,0.95188,0.89911,0.9288,0.69025,0.82991,0.49287,0.83655,0.0001982,0.0001982,0.0001982
93,3819.35,0.90858,0.52227,0.86011,0.95182,0.89091,0.93005,0.68554,0.84038,0.49553,0.83642,0.0001784,0.0001784,0.0001784
94,3859.99,0.90479,0.5382,0.86892,0.96068,0.90909,0.93229,0.69541,0.80078,0.48759,0.83245,0.0001586,0.0001586,0.0001586
95,3900.35,0.93258,0.54314,0.88039,0.95429,0.90909,0.93016,0.68729,0.80133,0.49104,0.83212,0.0001388,0.0001388,0.0001388
96,3940.78,0.86993,0.53248,0.85187,0.95625,0.89545,0.92032,0.68758,0.78951,0.48894,0.82963,0.000119,0.000119,0.000119
97,3980.98,0.86004,0.52528,0.8518,0.96057,0.88585,0.92286,0.69057,0.78048,0.48449,0.82942,9.92e-05,9.92e-05,9.92e-05
98,4021.29,0.88201,0.519,0.84103,0.96449,0.88636,0.928,0.69419,0.77955,0.47704,0.83032,7.94e-05,7.94e-05,7.94e-05
99,4061.66,0.84493,0.49464,0.83755,0.96306,0.88636,0.92751,0.69705,0.77157,0.47081,0.82931,5.96e-05,5.96e-05,5.96e-05
100,4102.27,0.84175,0.50172,0.83886,0.96772,0.88636,0.92963,0.70057,0.76777,0.46738,0.82925,3.98e-05,3.98e-05,3.98e-05
